epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2103.62,1.03925,0.71935,1.18058,0.88175,0.8518,0.90033,0.65817,1.05305,0.63218,1.15312,0.0090496,0.0090496,0.0090496
98,2125.33,1.02637,0.71715,1.17748,0.90078,0.82908,0.91146,0.66943,1.02459,0.63723,1.14565,0.0090397,0.0090397,0.0090397
99,2146.86,1.0475,0.72539,1.20136,0.8906,0.83234,0.89864,0.65444,1.05154,0.65661,1.17493,0.0090298,0.0090298,0.0090298
100,2168.5,1.0365,0.72512,1.1907,0.89241,0.82784,0.90261,0.65514,1.05668,0.64917,1.1569,0.0090199,0.0090199,0.0090199
101,2190.42,1.0162,0.70714,1.17971,0.87808,0.81941,0.88656,0.64679,1.06221,0.67494,1.16266,0.00901,0.00901,0.00901
102,2212.77,1.02468,0.72582,1.18081,0.90677,0.81437,0.89809,0.66459,1.03405,0.6498,1.15483,0.0090001,0.0090001,0.0090001
103,2234.75,1.02088,0.71188,1.1782,0.88898,0.84731,0.90732,0.66827,1.02328,0.63327,1.14484,0.0089902,0.0089902,0.0089902
104,2256.3,1.02451,0.71112,1.18961,0.85972,0.86228,0.91287,0.66899,1.00185,0.61404,1.13984,0.0089803,0.0089803,0.0089803
105,2278.08,1.01683,0.71217,1.18439,0.87932,0.85778,0.91317,0.67012,1.00658,0.61865,1.13935,0.0089704,0.0089704,0.0089704
106,2299.91,1.01989,0.71135,1.17036,0.88635,0.82889,0.90462,0.66891,0.9995,0.64266,1.1386,0.0089605,0.0089605,0.0089605
107,2321.49,1.00338,0.70675,1.1759,0.90329,0.84731,0.90597,0.66557,1.03258,0.62696,1.15154,0.0089506,0.0089506,0.0089506
108,2343.31,1.01975,0.7063,1.17471,0.87317,0.85479,0.90638,0.67552,1.01342,0.61898,1.13354,0.0089407,0.0089407,0.0089407
109,2365.3,1.01268,0.68825,1.17377,0.91531,0.82335,0.90644,0.67532,1.00324,0.63458,1.1253,0.0089308,0.0089308,0.0089308
110,2387.03,1.00715,0.69354,1.17317,0.8956,0.83832,0.9114,0.67473,0.98913,0.60262,1.12959,0.0089209,0.0089209,0.0089209
111,2408.49,1.01947,0.70032,1.17719,0.91268,0.84494,0.91718,0.67867,1.01092,0.59687,1.12888,0.008911,0.008911,0.008911
112,2429.89,1.00615,0.69765,1.17645,0.89296,0.83383,0.89993,0.67215,0.9904,0.6129,1.1201,0.0089011,0.0089011,0.0089011
113,2451.41,1.00961,0.68725,1.16763,0.89373,0.84354,0.90818,0.67644,1.01089,0.61619,1.12345,0.0088912,0.0088912,0.0088912
114,2473.25,0.99833,0.68475,1.17062,0.89762,0.84003,0.91401,0.6825,0.98215,0.60189,1.12151,0.0088813,0.0088813,0.0088813
115,2494.86,0.9807,0.68068,1.15329,0.88563,0.85778,0.91152,0.67616,0.99274,0.60427,1.12314,0.0088714,0.0088714,0.0088714
116,2516.43,0.99052,0.67069,1.15777,0.91203,0.83808,0.90986,0.67223,1.0064,0.59543,1.13963,0.0088615,0.0088615,0.0088615
117,2538.08,0.99693,0.68387,1.15683,0.88754,0.84731,0.89995,0.6733,1.00126,0.60802,1.13464,0.0088516,0.0088516,0.0088516
118,2559.74,0.99063,0.67716,1.16117,0.86759,0.84356,0.90649,0.67913,1.00037,0.6081,1.11455,0.0088417,0.0088417,0.0088417
119,2581.24,0.98714,0.67458,1.15782,0.89696,0.84707,0.90145,0.67807,0.97926,0.61118,1.12606,0.0088318,0.0088318,0.0088318
120,2602.93,0.98147,0.67103,1.15528,0.91296,0.83226,0.90745,0.6842,0.98925,0.5908,1.11473,0.0088219,0.0088219,0.0088219
121,2624.62,0.97171,0.65759,1.14453,0.88708,0.84676,0.90419,0.67602,1.00973,0.59925,1.1342,0.008812,0.008812,0.008812
122,2646.22,0.97834,0.65635,1.14384,0.90773,0.83947,0.9077,0.6821,0.996,0.60309,1.11661,0.0088021,0.0088021,0.0088021
123,2667.6,0.96487,0.65471,1.1435,0.89101,0.85669,0.91829,0.70048,0.96225,0.59057,1.09708,0.0087922,0.0087922,0.0087922
124,2689.2,0.97832,0.65706,1.15266,0.87819,0.85928,0.91722,0.70077,0.9632,0.58428,1.10795,0.0087823,0.0087823,0.0087823
125,2710.77,0.96739,0.65186,1.1435,0.89481,0.8518,0.90965,0.6886,0.97416,0.58911,1.12356,0.0087724,0.0087724,0.0087724
126,2732.3,0.97657,0.66021,1.1422,0.90235,0.84381,0.9136,0.69055,0.96241,0.58041,1.1021,0.0087625,0.0087625,0.0087625
127,2753.74,0.97704,0.66426,1.14285,0.90035,0.8521,0.91442,0.68389,0.98635,0.5875,1.1193,0.0087526,0.0087526,0.0087526
128,2775.27,0.98428,0.67705,1.15424,0.87833,0.86453,0.91798,0.6906,1.01581,0.59695,1.12699,0.0087427,0.0087427,0.0087427
129,2796.88,0.96494,0.63553,1.13598,0.91243,0.84226,0.91688,0.69647,0.9723,0.58186,1.09707,0.0087328,0.0087328,0.0087328
130,2818.41,0.96023,0.6526,1.13863,0.91001,0.83383,0.91289,0.69053,0.97726,0.58468,1.12244,0.0087229,0.0087229,0.0087229
131,2839.77,0.97006,0.64077,1.15162,0.92783,0.82784,0.91274,0.68829,0.99028,0.59173,1.11895,0.008713,0.008713,0.008713
132,2858.5,0.97684,0.65113,1.15105,0.89483,0.85342,0.91173,0.68816,0.99009,0.58543,1.11701,0.0087031,0.0087031,0.0087031
133,2870,0.95243,0.63607,1.13311,0.90003,0.86261,0.919,0.70144,0.98124,0.55511,1.0979,0.0086932,0.0086932,0.0086932
134,2881.58,0.96005,0.63684,1.13453,0.92166,0.84431,0.92345,0.69973,0.97635,0.55833,1.10206,0.0086833,0.0086833,0.0086833
135,2893.64,0.95411,0.63901,1.12901,0.89186,0.86423,0.92037,0.69226,0.97017,0.57401,1.09961,0.0086734,0.0086734,0.0086734
136,2914.97,0.95629,0.6368,1.13206,0.89077,0.85453,0.91855,0.69603,0.97048,0.59249,1.10493,0.0086635,0.0086635,0.0086635
137,2936.28,0.94439,0.62331,1.12058,0.90618,0.85479,0.9187,0.6958,0.97329,0.56907,1.10048,0.0086536,0.0086536,0.0086536
138,2957.42,0.9577,0.63906,1.13883,0.91874,0.8518,0.91749,0.69522,0.98138,0.57414,1.11552,0.0086437,0.0086437,0.0086437
139,2978.58,0.94915,0.62912,1.13734,0.9237,0.86078,0.92317,0.69946,0.98445,0.57102,1.10706,0.0086338,0.0086338,0.0086338
140,3000.06,0.94638,0.61711,1.12793,0.92558,0.8565,0.9197,0.70043,0.97561,0.55433,1.10573,0.0086239,0.0086239,0.0086239
141,3021.55,0.94277,0.63111,1.1286,0.91931,0.86228,0.923,0.69889,0.98365,0.56199,1.10002,0.008614,0.008614,0.008614
142,3043.06,0.95132,0.63061,1.12602,0.91787,0.87275,0.92351,0.70421,0.9437,0.54693,1.09228,0.0086041,0.0086041,0.0086041
143,3064.5,0.93227,0.62925,1.12109,0.91479,0.86976,0.92343,0.70423,0.95945,0.54598,1.09473,0.0085942,0.0085942,0.0085942
144,3086,0.93402,0.62543,1.124,0.92663,0.83982,0.91739,0.70127,0.95603,0.5628,1.10871,0.0085843,0.0085843,0.0085843
145,3107.56,0.92798,0.62779,1.12964,0.90139,0.87575,0.92669,0.70718,0.96458,0.53977,1.09389,0.0085744,0.0085744,0.0085744
146,3128.88,0.95062,0.62018,1.13307,0.93771,0.85637,0.92586,0.70748,0.94156,0.53758,1.08725,0.0085645,0.0085645,0.0085645
147,3150.42,0.94572,0.62167,1.12743,0.90798,0.88323,0.92163,0.70567,0.95027,0.52831,1.08028,0.0085546,0.0085546,0.0085546
148,3172.06,0.93573,0.61781,1.12103,0.92891,0.86228,0.92251,0.70875,0.93483,0.53374,1.0797,0.0085447,0.0085447,0.0085447
149,3193.72,0.93831,0.62111,1.12357,0.92335,0.86556,0.92714,0.714,0.94265,0.53238,1.0945,0.0085348,0.0085348,0.0085348
150,3215.07,0.93871,0.622,1.12146,0.90437,0.87776,0.91802,0.70053,0.95329,0.56091,1.10002,0.0085249,0.0085249,0.0085249
