epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1095.98,1.05002,0.75044,1.19767,0.89325,0.80172,0.89134,0.64629,1.05611,0.67957,1.17699,0.0083764,0.0083764,0.0083764
84,1107.65,1.06674,0.76664,1.20539,0.8762,0.79641,0.88945,0.63887,1.04613,0.68346,1.14963,0.0083566,0.0083566,0.0083566
85,1119.21,1.05344,0.75667,1.20228,0.88061,0.82817,0.893,0.64332,1.08313,0.68941,1.1829,0.0083368,0.0083368,0.0083368
86,1130.8,1.05522,0.73759,1.20375,0.84841,0.84622,0.89507,0.64753,1.05244,0.66444,1.16781,0.008317,0.008317,0.008317
87,1142.4,1.05647,0.75561,1.20203,0.88786,0.81287,0.9032,0.65125,1.07782,0.66135,1.18705,0.0082972,0.0082972,0.0082972
88,1154.1,1.03731,0.74426,1.19771,0.89062,0.82335,0.90251,0.64444,1.07933,0.65551,1.18067,0.0082774,0.0082774,0.0082774
89,1165.53,1.04105,0.73054,1.1905,0.87322,0.85329,0.91077,0.65896,1.03548,0.62171,1.16857,0.0082576,0.0082576,0.0082576
90,1177.04,1.04073,0.7258,1.18961,0.91776,0.80838,0.9005,0.65148,1.04277,0.64265,1.15139,0.0082378,0.0082378,0.0082378
91,1188.59,1.0364,0.72477,1.19059,0.88174,0.8503,0.90603,0.65587,1.04454,0.62552,1.15588,0.008218,0.008218,0.008218
92,1200.16,1.03018,0.71094,1.17814,0.89792,0.8164,0.90207,0.65508,1.04352,0.62038,1.16638,0.0081982,0.0081982,0.0081982
93,1211.7,1.03522,0.71173,1.16809,0.88864,0.82424,0.90225,0.663,1.01668,0.63004,1.12762,0.0081784,0.0081784,0.0081784
94,1223.49,1.02365,0.71373,1.18066,0.88919,0.8503,0.91252,0.6558,1.04167,0.62377,1.15393,0.0081586,0.0081586,0.0081586
95,1235.25,1.02571,0.72512,1.18293,0.89047,0.83976,0.90667,0.65716,1.04859,0.62424,1.1505,0.0081388,0.0081388,0.0081388
96,1247.22,1.01391,0.70555,1.1728,0.89436,0.84912,0.91082,0.66792,1.03816,0.61535,1.16704,0.008119,0.008119,0.008119
97,1259.26,1.01314,0.70083,1.16641,0.8954,0.83299,0.90696,0.65849,1.04575,0.60942,1.15333,0.0080992,0.0080992,0.0080992
98,1271.62,1.00008,0.68509,1.1581,0.89776,0.84127,0.90383,0.65347,1.05462,0.64206,1.16599,0.0080794,0.0080794,0.0080794
99,1283.22,1.03208,0.7073,1.18698,0.88973,0.82934,0.9019,0.65689,1.06198,0.6346,1.14739,0.0080596,0.0080596,0.0080596
100,1294.83,1.02753,0.71171,1.17741,0.89815,0.81848,0.90383,0.66051,1.06162,0.64138,1.17528,0.0080398,0.0080398,0.0080398
101,1306.48,1.0027,0.70016,1.17171,0.89468,0.83929,0.90233,0.6608,1.04184,0.63004,1.1559,0.00802,0.00802,0.00802
102,1318.06,1.01021,0.6981,1.16789,0.90726,0.83832,0.90991,0.66893,1.02577,0.6167,1.14603,0.0080002,0.0080002,0.0080002
103,1329.76,1.0093,0.69335,1.16435,0.88633,0.8521,0.90176,0.6654,1.04307,0.6266,1.15175,0.0079804,0.0079804,0.0079804
104,1341.27,1.00684,0.69717,1.16895,0.89759,0.8503,0.91374,0.6747,1.01918,0.6101,1.14056,0.0079606,0.0079606,0.0079606
105,1354.62,0.99081,0.68737,1.1635,0.90626,0.81886,0.90718,0.67156,1.03902,0.60801,1.14776,0.0079408,0.0079408,0.0079408
106,1376.4,0.99976,0.68715,1.16393,0.90422,0.82934,0.9115,0.66653,1.03381,0.60856,1.14784,0.007921,0.007921,0.007921
107,1398.12,0.98733,0.68378,1.16116,0.87956,0.8488,0.90782,0.66786,1.03066,0.60373,1.15579,0.0079012,0.0079012,0.0079012
108,1419.76,0.99609,0.67853,1.15696,0.87552,0.86335,0.90652,0.6724,1.03133,0.58979,1.15055,0.0078814,0.0078814,0.0078814
109,1441.56,0.99416,0.66694,1.16254,0.90423,0.84581,0.91178,0.67654,1.00577,0.60719,1.13232,0.0078616,0.0078616,0.0078616
110,1463.38,0.98484,0.66881,1.15801,0.89554,0.84706,0.91365,0.6791,1.01947,0.59589,1.13166,0.0078418,0.0078418,0.0078418
111,1485.04,0.99754,0.67605,1.16008,0.8411,0.88747,0.91521,0.67583,1.01073,0.62324,1.12185,0.007822,0.007822,0.007822
112,1506.88,0.9877,0.67971,1.16577,0.90331,0.83918,0.90969,0.66947,1.03333,0.60261,1.14882,0.0078022,0.0078022,0.0078022
113,1528.76,0.98961,0.66285,1.15464,0.87847,0.85486,0.91192,0.67707,1.02182,0.62516,1.14119,0.0077824,0.0077824,0.0077824
114,1550.61,0.97971,0.67239,1.15664,0.89434,0.86163,0.91235,0.6812,1.01175,0.59784,1.13691,0.0077626,0.0077626,0.0077626
